"Gene_Symbol","Ensembl_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ACAA2","ENSG00000167315",6536.09533452899,0.215199351340855,0.505345795595893,0.42584573418108,0.670220259135945,0.870458008525213
"NFKB1","ENSG00000109320",4309.79739827196,-0.105839597768406,0.248696734376981,-0.425576950310783,0.670416138929313,0.870519342820076
"CFAP418","ENSG00000156172",62.717167525157,-0.231733775401703,0.544763511676778,-0.425384172094103,0.670556642399017,0.870519342820076
"SEPTIN8","ENSG00000164402",4133.14891601258,0.114867519064024,0.269990455780215,0.425450295019063,0.670508448412847,0.870519342820076
"NLRP6","ENSG00000174885",39.731837006803,-0.268021851256522,0.630038853830574,-0.425405274019174,0.670541262020357,0.870519342820076
"ARHGEF38","ENSG00000236699",450.968100876956,-0.273402143491869,0.642439846088578,-0.425568471751008,0.670422318156288,0.870519342820076
"ENSG00000272829","ENSG00000272829",16.7580311236131,0.27403799844183,0.644131240621189,0.425438142353649,0.670517305835073,0.870519342820076
"TRPM3","ENSG00000083067",16.5972618291418,0.523589600527305,1.23200499428452,0.424989836044761,0.670844084114439,0.870672984324728
"CSF3R","ENSG00000119535",304.379876125543,0.269873892319645,0.634887087326566,0.425073840225751,0.67078284726112,0.870672984324728
"SORCS3","ENSG00000156395",11.4235776878909,-0.534074461402362,1.25734744987698,-0.424762830238067,0.671009576352481,0.870672984324728
"HSD11B1L","ENSG00000167733",71.2210363046574,-0.170851051506708,0.402197580994192,-0.424793831639618,0.670986974706223,0.870672984324728
"RNF227","ENSG00000179859",152.313314621688,-0.17245303143245,0.405990312242101,-0.424771296832356,0.671003403732037,0.870672984324728
"YBEY","ENSG00000182362",416.391757144373,0.28751589118574,0.676400430622731,0.425067575609077,0.670787413927562,0.870672984324728
"TXNP6","ENSG00000234036",19.6416403014065,-0.293387810134332,0.690627476145296,-0.424813405588584,0.670972704425009,0.870672984324728
"ADH1C","ENSG00000248144",19148.0248578561,0.314970224837737,0.741264959133035,0.424909097559552,0.67090294242127,0.870672984324728
"SNAP47","ENSG00000143740",741.825240984003,-0.107644941735851,0.253611709123521,-0.424447838421461,0.671239238764866,0.870916701315487
"TUBA3D","ENSG00000075886",14.5477733613508,-0.317620330383986,0.748876394936188,-0.424129178769283,0.671471606663764,0.870937609499277
"PTGER1","ENSG00000160951",13.7006463967425,-0.34508176199658,0.813532202308657,-0.424177138922468,0.671436631919087,0.870937609499277
"SLC29A4","ENSG00000164638",202.07217448858,-0.363593414874372,0.856950457200108,-0.42428755573844,0.671356113614439,0.870937609499277
"FAXDC2","ENSG00000170271",1041.52646965756,0.226739060584135,0.534629833421967,0.424104766344336,0.6714894095976,0.870937609499277
"ADGRF3","ENSG00000173567",30.846216445484,0.193873557078862,0.457161068147231,0.424081512156288,0.671506368050384,0.870937609499277
"EXOC3","ENSG00000180104",2937.2436403681,-0.11126831302093,0.262365995509785,-0.424095785754296,0.671495958802883,0.870937609499277
"SH3BP1","ENSG00000100092",293.662324467035,0.234329831631482,0.553080502592801,0.423681237239356,0.671798300528248,0.870955819766489
"KIAA1191","ENSG00000122203",4033.27356669422,0.115097764829556,0.271697317951755,0.423624957718551,0.671839350838405,0.870955819766489
"IRF3","ENSG00000126456",1832.42996390135,0.138178825066183,0.326198602091369,0.423603363657209,0.67185510181718,0.870955819766489
"SANBR","ENSG00000162929",522.568865900064,-0.129317056974574,0.305059043593323,-0.423908288216389,0.671632699375024,0.870955819766489
"RNF212","ENSG00000178222",61.937804986864,-0.252889829461851,0.596879804422581,-0.42368635626145,0.671794566759576,0.870955819766489
"BACE2","ENSG00000182240",2356.32746915815,0.248745130569223,0.587002316280109,0.42375493872928,0.671744544105482,0.870955819766489
"ENSG00000281383","ENSG00000281383",11.5058229017877,-0.411830018359902,0.971730654622257,-0.423810874341505,0.671703746886419,0.870955819766489
"ENSG00000289182","ENSG00000289182",46.2104626604449,-0.218058874490658,0.514426830358773,-0.423887055693768,0.671648184782407,0.870955819766489
"NAMPT","ENSG00000105835",6999.92307102038,-0.240766966675002,0.568600696783202,-0.423437691928828,0.671975949643241,0.871014118877754
"ARFIP1","ENSG00000164144",2977.81753111211,0.124857665681099,0.294874127394333,0.423426995051782,0.671983752680161,0.871014118877754
"TBCD","ENSG00000141556",2270.6921955809,0.133173486458857,0.314695740518276,0.423181725432738,0.672162678882957,0.871021768893218
"IGF2","ENSG00000167244",349.296762867348,0.198049509200094,0.468044702486297,0.423142294204029,0.672191446021509,0.871021768893218
"FAHD1","ENSG00000180185",2625.09107789377,-0.147173361405641,0.347766758835384,-0.423195597815332,0.672152558370247,0.871021768893218
"LINC01431","ENSG00000232645",18.5297949247234,-0.320809357147789,0.758129325980244,-0.423159144692089,0.672179152652612,0.871021768893218
"ARHGEF2-AS2","ENSG00000273002",24.5042732131189,0.278310610996809,0.657772148282741,0.423110968932631,0.672214299783421,0.871021768893218
"ENSG00000287934","ENSG00000287934",9.83272339046113,0.357526242593465,0.845066285045708,0.423074791788821,0.672240693669292,0.871021768893218
"FAM151B-DT","ENSG00000249042",50.2899460285399,-0.228331486378337,0.5399570848134,-0.422869692426102,0.672390336368155,0.871107226492765
"ENSG00000288742","ENSG00000288742",27.1007488732718,-0.347619099709064,0.821968213711108,-0.422910635606695,0.672360462746616,0.871107226492765
"PPP1CB-DT","ENSG00000226833",33.8280624761458,0.204430950000657,0.483592101574607,0.422734261653606,0.67248915523006,0.87118103507028
"FAXC","ENSG00000146267",90.9897745863616,-0.280728174346772,0.664793589808929,-0.422278702217116,0.672821601738758,0.871503241973461
"NCR3","ENSG00000204475",18.0215312892832,0.425875080447199,1.0084405556235,0.422310544803394,0.672798362391193,0.871503241973461
"C11orf71","ENSG00000180425",250.192065012116,-0.168704167712529,0.39966343598799,-0.422115591573902,0.672940648003188,0.87154898657026
"ENSG00000249743","ENSG00000249743",9.98910501596412,-0.532799582414812,1.26216835993826,-0.422130358616242,0.672929869943332,0.87154898657026
"CYP1B1","ENSG00000138061",171.987354913395,0.311152278943294,0.737454733802922,0.421927292186108,0.673078088459989,0.871672761776675
"VPS36","ENSG00000136100",4440.23046263359,-0.123845925616208,0.293605298649161,-0.421810935245401,0.673163023303362,0.8717285281867
"RPS6KA5","ENSG00000100784",1004.05886493417,0.18563373380235,0.440299949235053,0.421607438576493,0.673311575882304,0.871728698278912
"KCNMB4","ENSG00000135643",101.306358758727,0.23885947107574,0.566579838255948,0.421581311137015,0.673330649837876,0.871728698278912
"OSMR","ENSG00000145623",772.622676532669,-0.200386981508723,0.475261023539965,-0.421635630913194,0.673290994714346,0.871728698278912
"STK24-AS1","ENSG00000224418",11.205311147924,-0.344447986516032,0.816748635458996,-0.421730715622757,0.673221582109875,0.871728698278912
"CCL20","ENSG00000115009",2621.06605661928,-0.233700021326188,0.554731073195211,-0.42128525445689,0.673546796368744,0.871901645790415
"PPP1R10","ENSG00000204569",3130.01917728223,-0.0954372021380806,0.226539083993794,-0.421283605705296,0.673548000172997,0.871901645790415
"FRMD5","ENSG00000171877",92.5754235942071,-0.219120921267126,0.520422197658856,-0.421044533174896,0.673722563230789,0.872073389376271
"TM6SF2","ENSG00000213996",45.2907722852204,0.300976600320093,0.715293443087952,0.420773604495469,0.673920407862319,0.872275245640248
"GAPDHP40","ENSG00000248626",9.46479043745545,0.354379889401901,0.842500787912654,0.420628555469839,0.674026338629439,0.872358117350803
"ANKMY2","ENSG00000106524",1452.01067889316,0.124871852757572,0.297044408583317,0.420381091679586,0.674207078851163,0.872537794823046
"TRIM69","ENSG00000185880",1343.14461937918,0.271823597370403,0.64731919421889,0.419922041240269,0.67454240547868,0.872917498430731
"ENSG00000248936","ENSG00000248936",10.3558502956401,0.452430501936148,1.07796612617176,0.419707531574194,0.674699122414103,0.873061177326386
"ENSG00000270175","ENSG00000270175",15.534298135793,0.300708330828572,0.716560364067756,0.419655266894078,0.674737308195034,0.873061177326386
"SDCCAG8","ENSG00000054282",744.379266312262,-0.11622195102482,0.277064749593957,-0.419475776673667,0.67486845426721,0.873092656640858
"C19orf12","ENSG00000131943",974.075567288219,-0.127735401060806,0.304572538546004,-0.419392377496017,0.674929393953373,0.873092656640858
"PRKCI","ENSG00000163558",2956.12306587209,-0.136935956956387,0.326494562925067,-0.419412671774918,0.67491456475015,0.873092656640858
"SUCNR1","ENSG00000198829",68.1313285476641,-0.158942476171574,0.37890295909935,-0.419480693815057,0.674864861384025,0.873092656640858
"TRIM15","ENSG00000204610",2192.71216750389,0.256294016300677,0.611216010480279,0.419318231044517,0.67498357447278,0.873108490951555
"FAR2","ENSG00000064763",2909.23479096851,0.19331004080441,0.461240010118855,0.419109436656625,0.675136154389728,0.873144953829885
"SNRPD3","ENSG00000100028",1775.27746666944,0.170931412199215,0.407999874807364,0.418949668256443,0.675252916781617,0.873144953829885
"RO60","ENSG00000116747",1022.45795300755,0.145149497607126,0.346662285409316,0.41870576557165,0.675431181500455,0.873144953829885
"PDE11A","ENSG00000128655",95.3578689440809,0.365439215676467,0.872385562067233,0.418896450796951,0.675291811050521,0.873144953829885
"ZMYND15","ENSG00000141497",102.580020362786,0.166849529795486,0.39848586884597,0.418708774488512,0.675428982218494,0.873144953829885
"MVB12A","ENSG00000141971",829.038761284787,-0.164513336013623,0.392767499244179,-0.418856795254709,0.675320794082427,0.873144953829885
"TMEM135","ENSG00000166575",919.360785718355,0.136298012984766,0.325221849920168,0.41909242265925,0.675148588235263,0.873144953829885
"POLR2L","ENSG00000177700",1409.52653487654,-0.152671063549138,0.364341712327739,-0.419032623450494,0.675192290257545,0.873144953829885
"THUMPD3-AS1","ENSG00000206573",725.606482846842,-0.133747039351219,0.319421519087119,-0.418716433800255,0.675423383875534,0.873144953829885
"EPM2A-DT","ENSG00000235652",80.3229451487875,0.211632167174343,0.504970458383517,0.419098114871528,0.675144428351224,0.873144953829885
"CASTOR3P","ENSG00000291122",93.9428103954596,-0.253415375427469,0.605439953101847,-0.41856401139229,0.675534795814623,0.873224674279343
"LINC02487","ENSG00000203688",68.2469324812696,-0.312046858444712,0.745811874355781,-0.418398887406093,0.675655499891912,0.873326474403937
"FAM83G","ENSG00000188522",1973.14803859222,0.107395981379143,0.256753931975051,0.418283687237083,0.675739715068197,0.873381100657461
"SH3BP5","ENSG00000131370",323.936771115522,-0.161530088230352,0.386244910823207,-0.418206385907019,0.675796227200934,0.873399916679231
"ARAP2","ENSG00000047365",1255.36236482646,0.171595671183527,0.410408380063379,0.418109569685267,0.675867008523488,0.87343717073946
"IGHJ3","ENSG00000242887",13.053721750737,0.558292577494152,1.33584142394516,0.417933272233272,0.675995905097215,0.873549519075967
"ENSG00000261655","ENSG00000261655",45.0535248157162,0.248218004465671,0.594082797100031,0.417817189249257,0.676080782178508,0.873570386037312
"ENSG00000288764","ENSG00000288764",11.5378420195542,-0.352475751505703,0.843654337206167,-0.417796407795349,0.676095977511441,0.873570386037312
"SLK","ENSG00000065613",6284.20488377083,0.110294205301437,0.264187126581028,0.417485161857837,0.676323575332118,0.873760578766769
"ACTR2","ENSG00000138071",23787.6972129932,0.117074974756593,0.280432322889574,0.417480315928823,0.676327119139577,0.873760578766769
"COQ10B","ENSG00000115520",1114.24060740057,0.136509947058284,0.327145119565428,0.417276428392455,0.6764762277311,0.873840852182012
"ATG13","ENSG00000175224",2859.01692329509,-0.121880129630909,0.292107549986389,-0.417244024115735,0.676499927042922,0.873840852182012
"ZNF683","ENSG00000176083",25.8469929976534,0.531376486433447,1.27360253670554,0.41722316901784,0.676515179874027,0.873840852182012
"ENSG00000223947","ENSG00000223947",18.1926326357122,0.342817185848022,0.821916398878551,0.417094957973552,0.676608952735828,0.873907753943074
"PPP1CC","ENSG00000186298",7668.14652151375,0.112872105389215,0.270682213870562,0.416991215548391,0.676684833052989,0.873951538835978
